                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.63049,                0.93894,                 1.1028,                0.97216,                 0.5438,                0.54577,                0.56013,                0.39496,                0.50664,                0.50728,                0.49875,                0.30979,                 1.1329,                 4.1384,                 1.6934,                 1.2513,              0.0014674,              0.0014674,              0.0014674
                     25,                 0.6372,                0.92374,                 1.0039,                0.96127,                0.61367,                0.66265,                0.62944,                0.44856,                0.55752,                0.59036,                0.52879,                0.32142,                 1.0842,                 4.5033,                 1.5929,                 1.2329,              0.0015096,              0.0015096,              0.0015096
                     26,                 0.6218,                0.85741,                0.89121,                0.92596,                0.63161,                 0.6747,                 0.6555,                0.47457,                0.62536,                0.51807,                0.58193,                0.38095,                 1.0912,                 3.8947,                 1.4905,                 1.2889,               0.001505,               0.001505,               0.001505
                     27,                 0.6053,                0.84516,                0.83595,                0.91944,                0.63647,                 0.6747,                0.69215,                0.50101,                0.69049,                0.53012,                0.61617,                0.38946,                 1.0591,                 4.0748,                 1.5463,                 1.2747,               0.001505,               0.001505,               0.001505
                     28,                0.68765,                0.99148,                 0.8524,                0.94457,                0.66788,                0.66265,                0.66815,                0.51107,                0.60669,                0.60241,                0.55767,                0.33323,                0.99117,                 5.6142,                 1.5829,                  1.233,              0.0014852,              0.0014852,              0.0014852
                     29,                0.66418,                0.85171,                0.86659,                0.94959,                0.79193,                0.61446,                 0.6578,                0.50947,                0.67996,                0.53012,                0.53432,                0.36349,                 1.0215,                 5.3085,                  1.519,                 1.2908,              0.0014654,              0.0014654,              0.0014654
                     30,                0.64603,                0.94741,                0.90679,                0.94751,                0.83069,                0.55422,                0.62996,                0.48705,                 0.7227,                0.46988,                0.51354,                 0.3276,                 1.0232,                  6.066,                 1.5352,                 1.2883,              0.0014456,              0.0014456,              0.0014456
                     31,                0.65621,                0.89689,                0.88106,                0.96687,                0.65587,                 0.6506,                0.65352,                0.50923,                0.65932,                0.42169,                 0.4305,                0.25994,                 1.0013,                  7.416,                 1.4846,                 1.2816,              0.0014258,              0.0014258,              0.0014258
                     32,                0.64138,                0.83318,                0.89305,                 0.9251,                0.88568,                0.61446,                 0.6937,                0.54875,                0.79771,                0.55422,                0.56142,                0.34355,                0.96913,                 6.5063,                 1.3617,                 1.2652,               0.001406,               0.001406,               0.001406
                     33,                  0.608,                0.86728,                0.77226,                0.91143,                0.83836,                0.62491,                0.69379,                0.55425,                0.82219,                0.56627,                0.61035,                0.40095,                0.91864,                 5.7885,                  1.362,                 1.2167,              0.0013862,              0.0013862,              0.0013862
                     34,                  0.606,                0.77368,                0.73126,                0.91077,                0.76068,                0.63855,                0.68236,                0.55163,                 0.8114,                0.54217,                0.63438,                0.44092,                0.90089,                 4.9395,                 1.3899,                 1.1991,              0.0013664,              0.0013664,              0.0013664
                     35,                0.57611,                0.85155,                 1.0226,                0.93643,                0.65203,                0.65474,                0.66532,                0.53686,                0.80169,                0.55422,                 0.6396,                0.44079,                 0.9154,                 4.3921,                  1.434,                 1.1743,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.6044,                0.80144,                0.82688,                0.91701,                0.73269,                0.59446,                0.65457,                0.53122,                0.71834,                0.58387,                0.63182,                0.45583,                 0.9639,                 4.0918,                 1.4364,                 1.2344,              0.0013268,              0.0013268,              0.0013268
                     37,                0.61596,                0.75704,                0.80889,                0.94303,                0.83686,                0.56627,                0.67561,                 0.5333,                0.82962,                0.56627,                0.67154,                0.45876,                0.99977,                 4.2588,                 1.4307,                 1.2563,               0.001307,               0.001307,               0.001307
                     38,                0.55751,                0.69559,                0.80471,                0.93093,                0.80079,                0.57831,                 0.6725,                0.53087,                0.80401,                0.59314,                0.66322,                0.45933,                 1.0193,                 4.2416,                 1.5655,                 1.2756,              0.0012872,              0.0012872,              0.0012872
                     39,                0.60471,                0.69801,                0.81027,                0.91164,                0.76703,                0.61446,                0.66532,                0.53068,                0.73442,                0.59036,                0.64333,                0.46275,                0.98647,                 4.1315,                 1.5822,                 1.2546,              0.0012674,              0.0012674,              0.0012674
                     40,                0.55758,                0.66082,                0.73442,                0.93132,                0.74132,                0.63855,                0.67947,                0.54001,                0.69741,                0.60241,                0.64115,                0.47436,                 0.9986,                  4.026,                 1.4587,                 1.2378,              0.0012476,              0.0012476,              0.0012476
                     41,                0.58001,                0.68898,                0.70771,                 0.8944,                0.80539,                0.59838,                0.65489,                0.52219,                0.86338,                0.51807,                0.61889,                 0.4591,                 1.0138,                 3.8997,                 1.4486,                 1.2461,              0.0012278,              0.0012278,              0.0012278
                     42,                0.54088,                0.74088,                0.68847,                0.89529,                0.83579,                0.56627,                0.64054,                0.49629,                0.75314,                0.55141,                0.60052,                0.44084,                 1.0106,                 3.8286,                 1.4772,                 1.2527,               0.001208,               0.001208,               0.001208
                     43,                0.62359,                0.78522,                0.71581,                0.94981,                0.84611,                0.53012,                0.63538,                0.49501,                0.80741,                0.50602,                0.60033,                0.44295,                 1.0603,                 3.6114,                 1.4959,                 1.2711,              0.0011882,              0.0011882,              0.0011882
                     44,                 0.5652,                  0.747,                0.72357,                0.90556,                0.82363,                0.50639,                 0.6174,                0.45549,                 0.6712,                0.56568,                0.59387,                0.42824,                    1.1,                 3.5695,                 1.5284,                 1.3057,              0.0011684,              0.0011684,              0.0011684
                     45,                0.54647,                0.61477,                0.71317,                0.92202,                0.72776,                0.56627,                0.64596,                0.44879,                0.74387,                0.50602,                0.60341,                 0.4189,                 1.0879,                 3.6663,                 1.5326,                 1.2986,              0.0011486,              0.0011486,              0.0011486
                     46,                0.52615,                0.62903,                0.70618,                0.89343,                0.71274,                0.51807,                0.57975,                0.41361,                0.60914,                0.54217,                 0.5356,                0.38377,                  1.151,                 3.6111,                 1.6957,                 1.3276,              0.0011288,              0.0011288,              0.0011288
                     47,                0.56372,                0.79702,                0.77973,                0.93812,                0.61172,                0.51254,                0.54376,                0.37742,                0.61245,                0.53314,                0.54196,                0.35863,                 1.2175,                 4.0625,                 1.8738,                 1.3773,               0.001109,               0.001109,               0.001109
                     48,                0.60361,                0.72296,                0.70948,                0.90066,                0.77336,                0.56627,                0.61881,                0.45062,                0.69348,                0.56627,                0.59306,                0.39404,                 1.1249,                 3.9186,                 1.6854,                 1.2799,              0.0010892,              0.0010892,              0.0010892
                     49,                0.58897,                0.73938,                0.74195,                0.89295,                0.86685,                0.66265,                0.73038,                0.58603,                0.81927,                0.62651,                0.68317,                0.47253,                0.92054,                 3.3598,                 1.2802,                 1.1162,              0.0010694,              0.0010694,              0.0010694
                     50,                0.53483,                 0.5767,                0.68055,                0.89269,                0.88223,                0.63181,                0.72241,                0.59217,                0.82339,                0.59036,                0.67711,                0.48818,                0.87065,                 3.2016,                 1.2118,                 1.0991,              0.0010496,              0.0010496,              0.0010496
                     51,                0.50837,                0.54228,                0.66325,                 0.9157,                0.88014,                0.61933,                0.71434,                0.58887,                0.84589,                0.59523,                 0.6779,                0.49435,                0.88938,                 3.0593,                 1.2207,                  1.127,              0.0010298,              0.0010298,              0.0010298
                     52,                0.52115,                0.64379,                0.64382,                 0.8958,                0.80797,                0.65903,                 0.7158,                 0.5961,                0.77386,                0.61847,                0.66906,                0.49619,                 0.8748,                 2.9825,                 1.2313,                 1.1188,                0.00101,                0.00101,                0.00101
                     53,                 0.5257,                0.65592,                0.63001,                0.91643,                0.85529,                0.60241,                 0.6968,                0.57342,                0.83795,                0.59036,                0.65514,                0.49901,                0.88921,                 2.8092,                  1.296,                 1.1373,              0.0009902,              0.0009902,              0.0009902
                     54,                0.54311,                0.71362,                 0.6401,                0.87721,                0.85329,                0.55422,                0.64882,                0.55161,                0.83474,                0.54217,                0.62446,                0.49875,                0.85493,                 2.6975,                 1.3737,                   1.12,              0.0009704,              0.0009704,              0.0009704
                     55,                0.51224,                0.57697,                0.69212,                0.91025,                0.88042,                0.55422,                 0.6369,                0.53533,                0.86377,                0.54217,                0.61238,                0.49702,                0.87392,                 2.6279,                 1.4566,                 1.1259,              0.0009506,              0.0009506,              0.0009506
                     56,                0.48992,                0.57105,                0.59757,                 0.8943,                0.86728,                0.55422,                0.62736,                0.53093,                 0.8871,                0.54217,                0.58852,                 0.4961,                0.88752,                 2.6743,                  1.487,                 1.1351,              0.0009308,              0.0009308,              0.0009308
                     57,                0.53608,                0.69415,                0.61295,                0.90951,                 0.8213,                0.59036,                0.63622,                0.55984,                0.91793,                0.53907,                 0.6157,                0.50004,                0.84543,                 2.6301,                  1.415,                 1.1116,               0.000911,               0.000911,               0.000911
                     58,                0.46301,                0.45163,                0.66539,                0.89048,                0.80894,                0.62651,                0.69935,                0.60656,                0.94991,                0.54217,                0.67436,                0.53421,                0.79394,                 2.7172,                 1.3003,                 1.0594,              0.0008912,              0.0008912,              0.0008912
