                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.53784,                0.71843,                0.89286,                0.67505,                0.62573,                 0.6278,                0.48183,                0.94746,                 1.5739,                 1.1871,              0.0013268,              0.0013268,              0.0013268
                     37,                0.58597,                0.77533,                0.92758,                0.66815,                0.60648,                0.61306,                0.47818,                0.93252,                 1.5974,                 1.1361,               0.001307,               0.001307,               0.001307
                     38,                 0.5323,                0.74487,                0.91152,                0.75874,                0.54217,                0.64704,                0.52561,                0.87774,                 1.4779,                 1.1099,              0.0012872,              0.0012872,              0.0012872
                     39,                0.53698,                0.74419,                0.89809,                0.74704,                 0.6506,                0.70174,                0.57045,                0.82242,                 1.3859,                 1.0824,              0.0012674,              0.0012674,              0.0012674
                     40,                0.52761,                0.65931,                0.91918,                0.78687,                0.63855,                0.69198,                0.56319,                 0.8389,                 1.3786,                  1.102,              0.0012476,              0.0012476,              0.0012476
                     41,                0.55636,                0.68485,                0.89268,                0.76151,                0.65402,                0.68938,                0.55142,                0.84557,                 1.3364,                 1.1184,              0.0012278,              0.0012278,              0.0012278
                     42,                0.52333,                0.61765,                0.89274,                0.77198,                0.61188,                0.69481,                0.55623,                0.83552,                 1.3191,                 1.1189,               0.001208,               0.001208,               0.001208
                     43,                0.56056,                0.66136,                0.92603,                0.82219,                0.61282,                0.68155,                0.54759,                0.88334,                 1.3945,                 1.1619,              0.0011882,              0.0011882,              0.0011882
                     44,                0.52917,                0.64746,                0.89121,                0.79803,                0.63855,                 0.6886,                0.56033,                0.87585,                 1.3339,                 1.1642,              0.0011684,              0.0011684,              0.0011684
                     45,                0.50058,                0.62234,                0.90997,                0.84515,                0.65762,                0.70516,                0.56884,                0.88549,                  1.293,                 1.1642,              0.0011486,              0.0011486,              0.0011486
                     46,                0.50417,                0.62203,                0.90022,                0.80806,                0.66265,                0.70672,                0.56569,                0.89117,                 1.2935,                 1.1775,              0.0011288,              0.0011288,              0.0011288
                     47,                0.50042,                0.65598,                0.90657,                 0.9154,                0.62651,                0.71677,                0.56971,                 0.8941,                 1.2992,                 1.1904,               0.001109,               0.001109,               0.001109
                     48,                0.53985,                0.67056,                0.88653,                0.78364,                0.68675,                0.70664,                 0.5723,                0.87115,                 1.2834,                 1.1778,              0.0010892,              0.0010892,              0.0010892
                     49,                0.53841,                0.65335,                0.88043,                0.86539,                0.69715,                0.72467,                0.56772,                0.87194,                 1.2837,                 1.1698,              0.0010694,              0.0010694,              0.0010694
                     50,                0.50432,                0.61415,                0.88652,                0.85157,                 0.6913,                0.72537,                0.56917,                0.87099,                  1.251,                 1.1665,              0.0010496,              0.0010496,              0.0010496
                     51,                0.48882,                0.61074,                0.92036,                0.78773,                 0.6747,                0.71755,                0.57188,                0.86763,                 1.2718,                 1.1815,              0.0010298,              0.0010298,              0.0010298
                     52,                0.50092,                0.59988,                0.88567,                0.75912,                0.68346,                0.68805,                0.55837,                0.87782,                 1.3212,                 1.1875,                0.00101,                0.00101,                0.00101
                     53,                0.48209,                0.58667,                0.89977,                0.78801,                0.66265,                0.68486,                0.55545,                 0.8981,                 1.2991,                 1.2057,              0.0009902,              0.0009902,              0.0009902
                     54,                0.48128,                0.59422,                 0.8679,                0.81741,                0.66265,                0.71592,                0.56716,                0.90414,                  1.281,                 1.2048,              0.0009704,              0.0009704,              0.0009704
                     55,                 0.4671,                 0.6217,                0.89722,                0.83767,                0.68395,                0.73035,                0.56935,                0.89177,                 1.2661,                 1.1817,              0.0009506,              0.0009506,              0.0009506
                     56,                0.47104,                0.56947,                 0.8887,                0.81941,                 0.6506,                0.73502,                0.57124,                0.89577,                 1.3375,                 1.1678,              0.0009308,              0.0009308,              0.0009308
                     57,                0.50202,                0.59179,                0.89063,                0.77004,                 0.6506,                0.72825,                0.57158,                0.91594,                 1.3995,                 1.1613,               0.000911,               0.000911,               0.000911
                     58,                0.44235,                0.69168,                0.88778,                 0.7636,                0.66161,                0.73172,                0.57009,                0.90723,                 1.3938,                 1.1438,              0.0008912,              0.0008912,              0.0008912
